id,created_at,name,name_id,responsible_email,enabled,cnpj
1,2025-04-05 01:55:31+00,Instituto Criança Feliz,INSTITUTO CRIANCA FELIZ,contatolarcriancafeliz@gmail.com,true,1123456
2,2025-04-05 01:59:35+00,Casa Aurea dos Velhinhos de Salto de Pirapora,CASA AUREA DOS VELHINHOS DE SALTO DE PIRAPORA,izaiasemjr@gmail.com,false,12462
3,2025-04-09 16:21:10+00,Banco de Alimentos de Sorocaba,BANCO DE ALIMENTOS DE SOROCABA,izaiasemjr@gmail.com,false,4654
6,2025-05-06 13:36:59.353149+00,Associação Lugar de Amor e Restauração,ASSOCIACAO LUGAR DE AMOR E RESTAURACAO,contato@luar.org.br,false,11.351.310/0001-77
7,2025-05-06 14:08:02.977039+00,Instituto Gold,INSTITUTO GOLD GERACAO DE OURO,diretoria@institutogold.ong.br,true,11.351.310/0001-77
23,2025-05-22 14:44:21.320608+00,TOCK,TOCK,tocktec@gmail.com,true,30130456000137
25,2025-06-25 14:56:58+00,Instituição Demo,INSTITUICAO DEMO,demo@econnota.com,false,12.345.678/9123-45
27,2025-07-19 02:34:37.855137+00,ASSOCIAÇÃO DOS DEFICIENTES DE VOTORANTIM,ASSOCIACAO DOS DEFICIENTES DE VOTORANTIM,adv@vivalegal.com.br,true,01.729.156/0001-70
29,2025-07-24 16:29:28.259874+00,ENCANTOS INSTITUTO SÓCIO CULTURAL E BENEFICENTE,ENCANTOS INSTITUTO SÓCIO CULTURAL E BENEFICENTE,instituto.encantos@hotmail.com,true,13.315.822/0001-03
41,2025-07-29 11:56:08.618949+00,INSTITUTO DOS FILHOS MISERICORDIOSOS DA CRUZ,INSTITUTO DOS FILHOS MISERICORDIOSOS DA CRUZ,elton@ifmc.org.br,true,07.452.800/0001-92
